번호,제목,저자,출판사,출판일,Column1
32.0,Can animal-based welfare assessment be simplified? A comparison of the Welfare Quality&reg; protocol for dairy cattle and the simpler and less time-consuming protocol developed by the Danish Cattle Federation,"Andreasen, S.N.; Sandoe, P.; Forkman, B.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2014.0,
33.0,Animal-based measures on fattening heavy pigs at the slaughterhouse and the association with animal welfare at the farm level: a preliminary study,"Maisano A M, Luini M, Vitale N, S Rota Nodari, Scali F, Alborali G L, Vezzoli F",Cambridge University Press,2020.0,
34.0,Animal-free screening of biological materials for contamination by rodent viruses,"Bootz, F. O.; Wolf, F. R.",ELSEVIER SCIENCE B.V. AMSTERDAM,2007.0,
35.0,Methane emissions from beef cattle - a comparison of paddock- and animal-scale measurements,"Laubach, J.; Kelliher, F.M.; Knight, T.W.; Clark, H.; Molano, G.; Cavanagh, A.",CSIRO,2008.0,
36.0,Painful dilemmas: the ethics of animal-based pain research,"Magalhaes-Sant Ana, M.; Sandoe, P.; Olsson, I.A.S.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2009.0,
37.0,"Animal-related factors associated with piglet mortality in a bedded, group-farrowing system","Li, Y.Z.; Anderson, J.E.; Johnston, L.J.",AGRICULTURAL INSTITUTE OF CANADA,2012.0,
38.0,Therapy dogs' salivary cortisol levels vary during animal-assisted interventions,"Glenk, L.M.; Kothgassner, O.D.; Stetina, B.U.; Palme, R.; Kepplinger, B.; Baran, H.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2013.0,
39.0,"Establishment of adult right ventricle failure in ovine using a graded, animal?릗pecific pulmonary artery constriction model","Nguyen?륳ruong, Michael; Liu, Wenqiang; Boon, June; Nelson, Brad; Easley, Jeremiah; Monnet, Eric; Wang, Zhijie",John Wiley & Sons Ltd,2020.0,
40.0,The use of animal-based measures to assess the welfare of pigs and dairy cattle,unknown,UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2012.0,
41.0,"The concepts of ""severe suffering"" of experimental animals and ""essential needs of man and animal"" as used in cost-benefit analyses","Stafleu, F.;Vorstenbosch, J.;Tramper, R.;de Jong, M.;Eckelboom, E.;Krijger, F.",Elsevier,2000.0,
42.0,Can environmental variables replace some animal-based parameters in welfare assessment of dairy cows?,"Mulleder, C.; Troxler, J.; Loaha, G.; Waiblinger, S.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2007.0,
43.0,Insects: a novel animal-feed protein source for the Australian market,"DiGiacomo, K.; Akit, H.; Leury, B. J.",CSIRO PUBLISHING,2019.0,
44.0,"Influence of Municipal Abattoir Conditions and Animal-related Factors on Avoidance-related Behaviour, Bleeding Times at Slaughter and the Quality of Lamb Meat","Njisane, Y.Z.; Muchenje, V.",THE ASIAN-AUSTRALASIAN ASSOCIATION OF ANIMAL,2013.0,
45.0,From quiet-night-in to party animal: sex ratio and density affect male/female aggregations in a 'harem' polygynous insect,"Griffin, Melissa J.; Holwell, Gregory I.; Symonds, Matthew R.E.","Elsevier Science B.V., Amsterdam",2020.0,
46.0,Development of on-farm methods to assess the animal-human relationship in laying hens kept in non-cage systems,"Raubek, J.; Niebuhr, K.; Waiblinger, S.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2007.0,
47.0,Preliminary assessment of finishing pig welfare using animal-based measurements,"Whay, H. R.; Leeb, C.; Main, D. C. J.; Green, L. E.; Webster, A. J. F.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2007.0,
48.0,OPTIONS TO ELIMINATE ANIMAL-DERIVED COMPONENTS OF CELL CULTURE MEDIA,"Jayme, D. W.;Smith, S. R.",Kluwer Academic Publishers,1999.0,
49.0,Long-term consistency of selected animal-related welfare parameters in dairy farms,"Winckler, C.; Brinkmann, J.; Glatz, J.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2007.0,
50.0,Animal-visitor interactions in the modern zoo: Conflicts and interventions,"Fernandez, E. J.; Tamborski, M. A.; Pickens, S. R.; Timberlake, W.","Elsevier Science B.V., Amsterdam.",2009.0,
51.0,Formal animal-based welfare assessment in UK certification schemes,"Main, D. C. J.; Whay, H. R.; Leeb, C.; Webster, A. J. F.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2007.0,
52.0,Potential animal-centred indicators of dairy goat welfare,"Mazurek, M.; Marie, M.; Desor, D.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2007.0,
53.0,Animal Production and the New Social Ethic For Animals.,"Rollin, B.",American Society of Animal Science [etc.],1994.0,
54.0,"Analysis of integrated animal-fish production system under subtropical hill agro ecosystem in India: Growth performance of animals, total biomass production and monetary benefit","Kumaresan, A.; Pathak, K. A.; Bujarbaruah, K. M.; Vinod, K.",Springer Science + Business Media,2009.0,
55.0,Food Animal Urogenital Surgery,unknown,ACVS,1997.0,
56.0,"Thinking Animals: Why Animal Studies Now?, Kari Weil","AALTOLA, E.","[University of Illinois Press, Ferrater Mora Oxford Centre for Animal Ethics]",2014.0,
57.0,"Characterising and comparing animal-health services in the Rift Valley, Kenya: an exploratory analysis (part I)","Higham, L. E.; Ongeri, W.; Asena, K.; Thrusfield, M. V.",Springer Science + Business Media,2016.0,
58.0,The Animal-Plant Complex in Forage Palatability Phenomena,Gordon C. Marten,American Society of Animal Science [etc.],1978.0,
59.0,The effect of dog-human interaction on cortisol and behavior in registered animal-assisted activity dogs,"Ng, Z. Y.; Pierce, B. J.; Otto, C. M.; Buechner-Maxwell, V. A.; Siracusa, C.; Werre, S. R.","Elsevier Science B.V., Amsterdam.",2014.0,
60.0,Assessing the welfare of kennelled dogs?볾 review of animal-based measures,Zita Polg찼r; Emily J. Blackwell; Nicola J. Rooney,Elsevier,2019.0,
61.0,RESOURCE Laboratory animal-based collaborations and contracts beyond the border,"Stork, D.",NATURE PUBLISHING CO,2006.0,
62.0,Effect of animal?셲 experience and rodeo procedures on behaviour of bucking horses at a large commercial rodeo in Canada,"Christy Goldhawk, Temple Grandin, Ed Pajor",Elsevier,2021.0,
63.0,"Erratum to ""Bringing the issue of animal welfare to the public: A biography of Ruth Harrison (1920-2000)"" [Appl. Anim. Behav. Sci. 113 (2008) 404-410]","van de Weerd, H.; Sandilands, V.","Elsevier Science B.V., Amsterdam.",2009.0,
64.0,"Being Animal: Beasts and Boundaries in Nature and Ethics, Anna L. Peterson","MASSARO, A.","[University of Illinois Press, Ferrater Mora Oxford Centre for Animal Ethics]",2016.0,
65.0,"Mourning Animals: Rituals and Practices Surrounding Animal Death, Margo DeMello","SABRINA, T.","[University of Illinois Press, Ferrater Mora Oxford Centre for Animal Ethics]",2018.0,
66.0,Love Animals? Support Animal Research,"Bailey, M. R.",Nature Publishing Group,2018.0,
67.0,"Loving Animals: Toward a New Animal Advocacy, Kathy Rudy","LINZEY, C.","[University of Illinois Press, Ferrater Mora Oxford Centre for Animal Ethics]",2015.0,
68.0,India  Low-cost animal-drawn wheeled tool carrier,"Lal, H.",unknown,1986.0,
69.0,"What is a lab animal? : Small but dedicated communities are bringing the earliest lineages of the animal kingdom into the lab. Take a look at the ctenophores, the sponges, and the placozoans.",Ellen P. Neff,Media Horizons,2018.0,
70.0,Welcome to a new volume of Lab Animal!,"Harrington, M.",Nature Publishing Group,2013.0,
71.0,Improving national animal-health policies and delivery systems,unknown,FAO; 1997,2002.0,
72.0,"Erratum to ""Progress and challenges in animal handling and slaughter in the U.S."" [Appl. Anim. Behav. Sci. 100 (2006) 129-139]","Grandin, T.","Elsevier Science B.V., Amsterdam.",2007.0,
73.0,Extrinsic regulation of domestic animal-derived myogenic satellite cells II,"Rhoads, R. P.; Fernyhough, M. E.; Liu, X.; McFarland, D. C.; Velleman, S. G.; Hausman, G. J.; Dodson, M. V.","Elsevier Science B.V., Amsterdam.",2009.0,
74.0,On-farm assessment of laying hen welfare: a comparison of one environment-based and two animal-based methods,"Mollenhorst, H.; Rodenburg, T. B.; Bokkers, E. A.; Koene, P.; de Boer, I. J.","Elsevier Science B.V., Amsterdam.",2005.0,
75.0,The use of animal-borne cameras to video-track the behaviour of domestic cats,Maren Huck; Samantha Watson,Elsevier,2019.0,
76.0,Is the avoidance distance test for the assessment of animals' responsiveness to humans influenced by either the dominant or flightiest animal in the group?,"Mazurek, M.; McGee, M.; Minchin, W.; Crowe, M. A.; Earley, B.","Elsevier Science B.V., Amsterdam.",2011.0,
77.0,New animal-based measures to assess welfare in dromedary camels,Laura MenchettiBernard FayeBarbara Padalino,Longman Group [etc.],2021.0,
78.0,"Pain and Distress in Research Animals: A Panel of Experts Debates the Issues. Lab Animal invited panelists to respond to several questions concerning pain and distress, including their definition of the terms and their opinions regarding categorization of",unknown,NATURE PUBLISHING CO,2002.0,
79.0,USING ANIMAL-ORIENTED INDICATORS AND BENCHMARKING FOR CONTINUOUSLY IMPROVING ANIMAL HEALTH AND WELFARE,"Blaha,  Thomas",Butterworths,2014.0,
80.0,Effect of breed and other animal-related factors on conception rate to artificial insemination with frozen semen in mares in Ethiopia,"Ararsa Duguma, Alemayehu Lemma, Azmeraw Hibste",Longman Group [etc.],2019.0,
81.0,Towards animal-free neurotoxicity screening: Applicability of hiPSC-derived neuronal models for in vitro seizure liability assessment,Anke M. Tukker ; Regina G. D. M. van Kleef ; Fiona M. J. Wijnolts ; Aart de Groot ; Remco H. S. Westerink,Springer Spektrum,2020.0,
82.0,OECD/USA: Animal-free testing of severe eye irritation,unknown,ELSEVIER SCIENCE B.V. AMSTERDAM,2009.0,
83.0,Effects of animal/feeding-place ratio on the behaviour and performance of fattening pigs fed via sensor-controlled liquid feeding,"Rasmussen, D. K.; Weber, R.; Wechsler, B.","Elsevier Science B.V., Amsterdam.",2006.0,
84.0,Herd- and animal-level risk factors for bovine leptospirosis in Tanga region of Tanzania,"Schoonman, L.; Swai, E. S.",Springer Science + Business Media,2010.0,
85.0,Not quite 'all things animal',unknown,Nature Publishing Group,2015.0,
86.0,Physiological and behavioral effects of animal-assisted interventions on therapy dogs in pediatric oncology settings,Amy McCullough; Molly A. Jenkins; Ashleigh Ruehrdanz; Mary Jo Gilmer; Marguerite E. O?섽aire,Elsevier,2018.0,
87.0,Towards an animal-free human health assessment: Starting from the current regulatory needs,Peter M. J. Bos ; Liesbeth Geraets ; Lianne de Wit-Bos ; Minne Heringa ; Jacqueline van Engelen,Springer Spektrum,2020.0,
88.0,Monitoring Small Animal Patients,"Muir, W. W.",ACVS,1999.0,
89.0,Visualization of Inheritance Patterns From Graphic Representation of Additive and Dominance Relationships Between Animal.s,"Huang, Y. C.;Shanks, R. D.",American Society of Animal Science [etc.],1994.0,
90.0,Behavior The Application of Animal Behavior and the Humane Care of Farm Animals.,Kilgour,unknown,1978.0,
91.0,Consumer attitudes toward biotechnology: Lessons for animal-related applications,C. M. Bruhn,American Society of Animal Science [etc.],2003.0,
92.0,Comparison of eight logger layouts for monitoring animal-level temperature and humidity during commercial feeder cattle transport,"Goldhawk, C.; Crowe, T.; Gonz찼lez, L. A.; Janzen, E.; Kastelic, J.; Pajor, E.; Schwartzkopf-Genswein, K.",AMERICAN SOCIETY OF ANIMAL SCIENCE,2014.0,
93.0,"8^t^h Symposium ""Vitamins and Additives in the Nutrition of Man and Animal"", September 26-27 2001, Jena, Germany",unknown,KOCH NEFF UND OETINGER,2002.0,
94.0,"ART for Animals: Visual Culture and Animal Advocacy, 1870??914, J. Keri Cronin","HEDERMAN, R.","[University of Illinois Press, Ferrater Mora Oxford Centre for Animal Ethics]",2020.0,
95.0,Ruminald Undigestibel Intake Protein BValue and Postruminal Digestibility off Menhaden Fish meal Versus Two High-Bypass Animal-Protein Blends in An 88% Concentrate Finishing Diet for Feedlot Cattle,"zinn, R. A.;MOntano, M.;Shen, Y.",American Society of Animal Science [etc.],1997.0,
96.0,"Mosaic, A Journal for the Interdisciplinary Study of Literature, ?쏷he Animal??[Special Issue], Parts 1 & 2 by Dawne McCance","SIMONS, J.","[University of Illinois Press, Ferrater Mora Oxford Centre for Animal Ethics]",2012.0,
97.0,Technical note: Characterization of lipid constitution in Fourier transform infrared spectra and spectroscopic discrimination of animal-derived feedstuffs from different species,F. Gao; L. Han; Z. Yang; L. Xu; X. Liu,American Society of Animal Science [etc.],2017.0,
98.0,New insights: animal?륿orne cameras and accelerometers reveal the secret lives of cryptic species,"Hays, Graeme C.",Wiley-Blackwell,2015.0,
99.0,"The Fest Issue on Robin Thompson's contributions to statistics, genetics and animal/plant genetic improvement schemes","Hickey, John; Gorjanc, Gregor; Hill, Bill","John Wiley & Sons, Ltd",2019.0,
100.0,Monitoring Small Animal Patients,"Muir, W. W.",ACVS,1998.0,
1.0,Global Animal Partnership's 5-Step&trade; Animal Welfare Rating Standard: a welfare-labelling scheme that allows for continuous improvement,"Duncan, I.J.H.; Park, M.; Malleau, A.E.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2012.0,
2.0,The legacy of positivism and the role of ethics in animal science,"Thompson, P. B.",British Society of Animal Science,2002.0,
3.0,The constitution of Institutional Animal Care and Use Committees: a principled approach,"Vorstenbosch, J.",Elsevier,2000.0,
4.0,Ethical issues in animal biotechnology,"Sandoe, P.;Christiansen, S. B.;Lassen, J.",British Society of Animal Science,2002.0,
5.0,Sward characteristics and animal performance in a leader/follower grazing system with cows and sheep,"Fisher, G. E. J.; Gill, A.; Dowdeswell, A.",British Society of Animal Production,1993.0,
6.0,"The effects of including ruminally protected lipid in the diet of Charolais steers on animal performance, carcass quality and the fatty acid composition of longissimus dorsi muscle","Scollan, N. D.;Gulati, S.;Hallett, K. G.;Wood, J. D.;Enser, M.",British Society of Animal Science,2002.0,
7.0,Economics and animal welfare in small animal veterinary practice: the case of genetic welfare problems,"Yeates, J.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2012.0,
8.0,"The use of time-budgets in the assessment of animal welfare in the horse; ""Are changes in time-budgeting indicative of changes in welfare""","Marsden, M. D.",British Society of Animal Production,1993.0,
9.0,Animal products and human health: consequences for agriculture and some new approaches,"Barth, C. A.",National Institute of Animal Science,1991.0,
10.0,"Animal Grouping Strategies, Sources of Variation, and Economic Factors Affecting Nutrient Balance on Dairy Farms","St-Pierre, N. R.;Thraen, C. S.",American Society of Animal Science,1998.0,
11.0,Breeding and farm animal welfare,"Simm, G.",British Society of Animal Science,2004.0,
12.0,Breeding and animal welfare: threats and opportunities,"Muir, B.",British Society of Animal Science,2004.0,
13.0,Animal genetic resources management and poverty,"Anderson, S.",British Society of Animal Science,2004.0,
14.0,A global perspective on the value of animal genetic resources,"Hammond, K.",British Society of Animal Science,2004.0,
15.0,Animal science research in the Netherlands,"Brascamp, E. W.",British Society of Animal Production,1993.0,
16.0,Recombinant antibodies by phage display: the end of animal use?,"Stadler, B. M.;Vogel, M.;Miescher, S.",Elsevier,2000.0,
17.0,The qualitative assessment of animal behavioural expression and its application to animal husbandry,"Wemelsfelder, F.",Elsevier,2000.0,
18.0,Multidisciplinary Team Development and Laboratory Animal Care,"Baneux, P.;Townsend, P.",Elsevier,2000.0,
19.0,"Animal Encounters: Human and Animal Interaction in Britain from the Norman Conquest to World War I, Arthur MacGregor","LI, C.-H.","[University of Illinois Press, Ferrater Mora Oxford Centre for Animal Ethics]",2014.0,
20.0,Animal science and the safety of food for human consumption,"Vanselow, B. A.","University of New England, Department of Animal Science",1999.0,
21.0,Analysis of behavioural sequences: refinement of statistical methods to reduce animal use in the life sciences,"Puopolo, M.;Chiarotti, F.",Elsevier,2000.0,
22.0,Animal welfare and pest control: meeting both conservation and animal welfare goals,"Littin, K.E.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2010.0,
23.0,The integration of human-animal relations into animal welfare monitoring schemes,"Hemsworth, P.H.; Barnett, J.L.; Coleman, G.J.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2009.0,
24.0,Voluntary animal welfare assessment of mass-produced farm animal housing equipment using a standardised procedure,"Knierim, U.; Hesse, D.; von Borell, E.; Herrmann, H.-J.; Muller, C.; Rauch, H.-W.; Sachser, N.; Zerbe, F.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2003.0,
25.0,Production and Use of Feed for Sustainable Animal Production in Australia,"Rowe, J. B.; Corbett, J. L.",AAAP,1998.0,
26.0,Determination of the stringency of DNA microsatellite marker genotypes for use in individual animal identification,"Stockburger, E. M.;Green, R. D.;Wood, W. O.;Holm, T.","American Society of Animal Science, Western Section",1999.0,
27.0,Evaluation of temperate bamboo foliage as an animal feedstuff: seasonal changes in composition and digestibility in ponies,"Greenway, S. L.;Keller, M.;Nelson, G.;Cheeke, P. R.","American Society of Animal Science, Western Section",1999.0,
28.0,Animal experiments and non-animal methods in nanomedicine and nanotechnology - the results of a critical literature survey from the point of view of animal welfare,"Sauer Ursula, G.",Spektrum Akademischer Verlag,2008.0,
29.0,Pacing polar bears and stoical sheep: testing ecological and evolutionary hypotheses about animal welfare,"Clubb, R.;Mason, G.",Universities Federation for Animal Welfare,2004.0,
30.0,"Consciousness, emotion and animal welfare: insights from cognitive science","Mendl, M.;Paul, E. S.",Universities Federation for Animal Welfare,2004.0,
31.0,Graduate Education: Training and Learning Experiences of an Animal Scientist,"Bazer, F. W.",American Society of Animal Science,1996.0,
32.0,Plant cuticular wax alkanes - a new technique for estimating diet selection and intake in the grazing animal,"Dove, H.",Australian Society of Animal Production,1994.0,
33.0,Diet selection and intake by grazing animals - the animal connection,"Dynes, R. A.; Weston, R. H.",Australian Society of Animal Production,1994.0,
34.0,The plant-animal interface revisited: Conclusions,"Purser, D. B.",Australian Society of Animal Production,1994.0,
35.0,"A new treatment system for animal waste water using microorganism, soil and vegetation",A new treatment system for animal waste water using microorganism ; soil ; vegetation,Asian-Australasian Association of Animal Production Societies,1993.0,
36.0,Brain measures which tell us about animal welfare,"Broom, D. M.;Zanella, A. J.",Universities Federation for Animal Welfare,2004.0,
37.0,ANIMAL BEHAVIOR AND WELL-BEING SYMPOSIUM: Novel and multidisciplinary approaches to animal welfare,K. Proudfoot;,American Society of Animal Science [etc.],2016.0,
38.0,"Animal Ethics and the Autonomous Animal Self, Natalie Thomas","MARC, G. W.","[University of Illinois Press, Ferrater Mora Oxford Centre for Animal Ethics]",2018.0,
39.0,Assessment of the impact of government animal welfare policy on farm animal welfare in the UK,"Bennett, R. M.; Broom, D. M.; Henson, S. J.; Blaney, R. J. P.; Harper, G.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2004.0,
40.0,"Aggression, behaviour and animal care among pit bulls and other dogs adopted from an animal shelter","MacNeil-Allcock, A.; Clarke, N.M.; Ledger, R.A.; Fraser, D.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2011.0,
41.0,The qualitative assessment of animal behavioural expression and its application to animal husbandry,"Wemelsfelder, F.",Elsevier,2000.0,
42.0,Ethical decisions concerning animal biotechnology: what is the role of animal welfare science?,"Olsson, I. A. S.; Sandoe, P.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2004.0,
43.0,Animal Scientists' Role in the Development and Delivery of 4-H Animal Programs,"Russell, m. A.;Warner, R. J.;Sutton, A. L.",American Society of Animal Science [etc.],1991.0,
44.0,Review of research using non-human primates Animal welfare `toolkit' for farm animal veterinarians CAWC report on the rescue and re-homing of companion animals,unknown,UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2011.0,
45.0,Cost and animal use reduction analysis: review of the National Toxicology Program 14-day toxicity study database,"Chhabra, R. S.;Haseman, J. K.;Bucher, J. R.",Elsevier,2000.0,
46.0,ANIMAL WELFARE CONDITIONS FOR FREE RANGING SHEEP IN NORWEGIAN PREDATOR HABITATS,"Asheim, L.J.; Eik, L.O.",Institute for Animal Husbandry,2005.0,
47.0,Evaluation of the relevance of the target animal safety test,"Cussler, K.;van der Kamp, M. D. O.;Poessnecker, A.",Elsevier,2000.0,
48.0,"Development of a multi-institutional, web-based, graduate animal breeding course","Herring, A. D.; Thomas, M. G.; Enns, R. M.","American Society of Animal Science, Western Section",2000.0,
49.0,The Challenges of Exotic Animal Nutrition And Application of Animal Science To The Field,"Koutsos, E.",CANC,2009.0,
50.0,The Challenges of Exotic Animal Nutrition And Application of Animal Science To The Field,"Koutsos, E.",California; CANC,2009.0,
51.0,Reduction of animal use in regulatory testing of biologicals,"Dobbelaer, R.",Elsevier,2000.0,
52.0,Animal trait ontology: The importance and usefulness of a unified trait vocabulary for animal species,L. M. Hughes; J. Bao; Z.-L. Hu; V. Honavar; J. M. Reecy,American Society of Animal Science [etc.],2008.0,
53.0,Maintenance of indigenous animal breeds as a part of protection and reintroduction programme for rare or endangered species,"Bereszynski, A.; Urbanska, M.",Polish Academy of Sciences Institute of Genetics and Animal Breeding,1996.0,
54.0,Animal welfare and intergovernmental organisations: the role of intergovernmental organisations such as the OIE in animal welfare,"Littin, K.E.; Sheridan, A.; Johnson, C.B.; Bayvel, A.C.D.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2013.0,
55.0,"Can't stop, won't stop: is stereotypy a reliable animal welfare indicator?","Mason, G. J.;Latham, N. R.",Universities Federation for Animal Welfare,2004.0,
